G:/Java/aptech-springmvc-project/2022-12-27 07:41:28.654 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
G:/Java/aptech-springmvc-project/2022-12-27 07:41:29.148 [RMI TCP Connection(3)-127.0.0.1] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@16b38d52, org.springframework.security.web.context.SecurityContextPersistenceFilter@6d091862, org.springframework.security.web.header.HeaderWriterFilter@2d94e906, org.springframework.security.web.authentication.logout.LogoutFilter@62177e5d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5e9247bd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@30a08658, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@64c589df, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@401d31fc, org.springframework.security.web.session.SessionManagementFilter@617d2e5b, org.springframework.security.web.access.ExceptionTranslationFilter@23f2d377, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@45060b31]
G:/Java/aptech-springmvc-project/2022-12-27 07:41:29.219 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
G:/Java/aptech-springmvc-project/2022-12-27 07:41:29.263 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
G:/Java/aptech-springmvc-project/2022-12-27 07:41:29.277 [RMI TCP Connection(3)-127.0.0.1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext initialized in 2527 ms
G:/Java/aptech-springmvc-project/2022-12-27 07:41:29.315 [RMI TCP Connection(3)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'appServlet'
G:/Java/aptech-springmvc-project/2022-12-27 07:41:29.444 [RMI TCP Connection(3)-127.0.0.1] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@eed39dd, org.springframework.security.web.context.SecurityContextPersistenceFilter@bb9b3ee, org.springframework.security.web.header.HeaderWriterFilter@1dbd3027, org.springframework.security.web.authentication.logout.LogoutFilter@6b789277, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2e17a853, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@402403ec, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@346c3fc7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@75d42fc, org.springframework.security.web.session.SessionManagementFilter@55198e95, org.springframework.security.web.access.ExceptionTranslationFilter@1c6ae782, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5db80c1f]
G:/Java/aptech-springmvc-project/2022-12-27 07:41:29.507 [RMI TCP Connection(3)-127.0.0.1] INFO  com.mchange.v2.c3p0.impl.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> 1br6t4xatmhcuz910yt10d|140499c1, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.cj.jdbc.Driver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, forceUseNamedDriverClass -> false, identityToken -> 1br6t4xatmhcuz910yt10d|140499c1, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:mysql://localhost:3306/aptech_springmvc_book?useSSL=false, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 30000, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 20, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 5, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {password=******, user=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
G:/Java/aptech-springmvc-project/2022-12-27 07:41:29.507 [RMI TCP Connection(3)-127.0.0.1] WARN  com.mchange.v2.resourcepool.BasicResourcePool - Bad pool size config, start 3 < min 5. Using 5 as start.
G:/Java/apteG:/Java/aptech-springmvc-project/2022-12-27 07:48:44.196 [RMI TCP Connection(3)-127.0.0.1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
